Activity,Day,Channel,TargetProducts,Cost
1,88,text message,1,0.03
2,26,text message,1,0.03
3,72,text message,1,0.03
4,116,email,2,0.0
5,93,email,2,0.0
6,75,email,2,0.0
7,63,email,3;12,0.0
8,47,text message,4,0.03
9,33,direct mail,5;11,1.2
10,89,direct mail,5;11,1.2
11,24,direct mail,6,1.2
12,56,direct mail,6,1.2
13,66,direct mail,7,1.2
14,114,direct mail,7,1.2
15,78,email,8;11,0.0
16,4,email,8;11,0.0
17,1,email,8;11,0.0
18,78,call center,9;12,7.8
19,7,call center,9;12,7.8
20,53,call center,9;12,7.8
21,86,call center,9;12,7.8
22,71,call center,10;11,7.8
23,3,call center,10;11,7.8
24,77,call center,10;11,7.8
25,92,direct mail,3;12,1.2
26,22,email,9,0.0
27,76,email,9,0.0
28,8,email,9,0.0
29,78,call center,3,7.8
30,73,call center,3,7.8
31,76,call center,3,7.8
32,77,text message,2,0.03
33,44,text message,2,0.03
34,21,text message,2,0.03
35,31,call center,5,7.8
36,37,call center,5,7.8
37,104,call center,1,7.8
38,8,call center,1,7.8
39,46,direct mail,5;11,1.2
40,69,direct mail,5;11,1.2
41,58,email,2,0.0
42,113,email,2,0.0
43,83,direct mail,8;12,1.2
44,97,direct mail,8;12,1.2
45,14,text message,4,0.03
46,11,email,2,0.0
47,24,email,2,0.0
48,82,email,2,0.0
49,8,call center,7;11,7.8
50,25,call center,7,7.8
51,75,call center,7,7.8
52,93,call center,7,7.8
53,21,direct mail,10,1.2
54,33,direct mail,10,1.2
55,13,direct mail,10,1.2
56,66,email,7,0.0
57,95,email,7,0.0
58,61,text message,10;12,0.03
59,106,text message,10;12,0.03
60,25,email,7;11,0.0
61,83,email,1;11,0.0
62,116,text message,1,0.03
63,98,text message,1,0.03
64,3,direct mail,3,1.2
65,109,direct mail,3,1.2
66,93,call center,10,7.8
67,104,call center,10,7.8
68,99,text message,7,0.03
69,11,direct mail,1;12,1.2
70,55,direct mail,1;12,1.2
71,97,email,7,0.0
72,106,email,8,0.0
73,83,text message,1,0.03
74,87,email,4;11,0.0
75,71,direct mail,10,1.2
76,67,direct mail,10,1.2
77,72,direct mail,10,1.2
78,104,call center,1;12,7.8
79,49,email,4;11,0.0
80,55,direct mail,5;11,1.2
81,16,direct mail,8,1.2
82,6,direct mail,8,1.2
83,18,direct mail,8,1.2
84,43,email,6,0.0
85,21,email,6,0.0
86,119,email,6,0.0
87,49,text message,4,0.03
88,23,text message,4,0.03
89,102,call center,9,7.8
90,14,call center,9,7.8
91,114,call center,9,7.8
92,115,text message,1,0.03
93,98,text message,7,0.03
94,54,text message,7,0.03
95,85,email,8,0.0
96,11,email,10,0.0
97,97,email,10,0.0
98,56,email,6;12,0.0
99,62,email,6;12,0.0
100,57,email,6;12,0.0
