Activity,Day,Channel,TargetProducts,Cost
1,10,direct mail,1,1.82
2,68,direct mail,1,1.82
3,104,direct mail,1,1.82
4,24,email,2;11,0.0
5,101,email,2;11,0.0
6,28,email,2;11,0.0
7,38,email,3,0.0
8,58,text message,4,0.0455
9,84,direct mail,5,1.82
10,39,direct mail,5,1.82
11,9,call center,6;12,11.829999999999998
12,33,call center,6;12,11.829999999999998
13,35,text message,7,0.0455
14,11,text message,7,0.0455
15,24,email,8;11,0.0
16,16,email,8;11,0.0
17,112,email,8;11,0.0
18,88,email,9;12,0.0
19,26,email,9;12,0.0
20,72,email,9;12,0.0
21,116,text message,10,0.0455
22,93,text message,10,0.0455
23,75,text message,10,0.0455
24,63,direct mail,8;11,1.82
25,47,direct mail,1,1.82
26,33,direct mail,1,1.82
27,89,direct mail,1,1.82
28,24,direct mail,4;11,1.82
29,56,direct mail,4;11,1.82
30,66,direct mail,4;11,1.82
31,114,email,5;11,0.0
32,78,email,5;11,0.0
33,4,call center,3;12,11.829999999999998
34,1,call center,3;12,11.829999999999998
35,78,call center,1,11.829999999999998
36,7,call center,1,11.829999999999998
37,53,direct mail,4,1.82
38,86,direct mail,4,1.82
39,71,email,6,0.0
40,3,email,6,0.0
41,77,call center,2;12,11.829999999999998
42,92,call center,2;12,11.829999999999998
43,22,text message,3,0.0455
44,76,call center,5,11.829999999999998
45,8,call center,5,11.829999999999998
46,78,call center,5,11.829999999999998
47,73,call center,4,11.829999999999998
48,76,direct mail,1,1.82
49,77,direct mail,1,1.82
50,44,direct mail,1,1.82
51,21,email,7;11,0.0
52,31,email,7;11,0.0
53,37,email,7;11,0.0
54,104,direct mail,1,1.82
55,8,direct mail,1,1.82
56,46,text message,8;12,0.0455
57,69,text message,8;12,0.0455
58,58,email,3;12,0.0
59,113,call center,9,11.829999999999998
60,83,call center,4;12,11.829999999999998
61,97,call center,4;12,11.829999999999998
62,14,direct mail,1,1.82
63,11,direct mail,1,1.82
64,24,email,9;12,0.0
65,82,email,9;12,0.0
66,8,text message,5,0.0455
67,25,email,3;12,0.0
68,75,email,3;12,0.0
69,93,email,10,0.0
70,21,text message,1;11,0.0455
71,33,direct mail,4;11,1.82
72,13,call center,9;12,11.829999999999998
73,66,text message,2,0.0455
74,95,text message,2,0.0455
75,61,text message,2,0.0455
