Activity,Day,Channel,TargetProducts,Cost
1,45,text message,1,0.053000000000000005
2,104,text message,1,0.053000000000000005
3,70,call center,2;11,13.78
4,28,call center,2;11,13.78
5,69,email,3,0.0
6,1,email,4,0.0
7,68,direct mail,5;12,2.12
8,19,direct mail,6,2.12
9,47,direct mail,6,2.12
10,55,direct mail,6,2.12
11,1,direct mail,6,2.12
12,66,email,7,0.0
13,22,email,7,0.0
14,111,text message,8;12,0.053000000000000005
15,41,text message,8;12,0.053000000000000005
16,74,call center,9,13.78
17,24,call center,9,13.78
18,50,text message,10;12,0.053000000000000005
19,78,text message,10;12,0.053000000000000005
20,107,direct mail,5;12,2.12
21,113,direct mail,5;12,2.12
22,39,direct mail,1,2.12
23,80,direct mail,1,2.12
24,13,direct mail,1,2.12
25,62,direct mail,1,2.12
26,66,direct mail,2;12,2.12
27,23,direct mail,2;12,2.12
28,109,direct mail,2;12,2.12
29,96,email,10;11,0.0
30,85,email,10;11,0.0
31,5,email,9,0.0
32,24,email,9,0.0
33,23,direct mail,3;12,2.12
34,102,direct mail,3;12,2.12
35,20,text message,4,0.053000000000000005
36,7,text message,4,0.053000000000000005
37,65,direct mail,2,2.12
38,101,direct mail,3,2.12
39,21,direct mail,3,2.12
40,98,direct mail,3,2.12
41,25,call center,8,13.78
42,35,call center,3;12,13.78
43,55,call center,3;12,13.78
44,81,call center,3;12,13.78
45,36,direct mail,7;11,2.12
46,6,call center,1;11,13.78
47,30,call center,10,13.78
48,32,direct mail,3,2.12
49,8,email,7;12,0.0
50,21,email,7;12,0.0
