Customer,Activity,ExpectedProfit,ResponseProbability
1,21,15.884929794966403,0.0175618102
1,35,11.381189193855999,0.0230490832
1,6,0.0255151795248,0.0401182068
1,20,15.884929794966403,0.0175618102
1,36,11.381189193855999,0.0230490832
2,43,-13.716508022373999,0.0199660307
2,19,23.8604465284936,0.0307690333
2,35,13.837946566744,0.0280014243
2,44,-13.716508022373999,0.0199660307
2,42,-13.716508022373999,0.0199660307
2,18,23.8604465284936,0.0307690333
2,36,13.837946566744,0.0280014243
3,16,12.625356740360003,0.0319368127
3,17,12.625356740360003,0.0319368127
3,49,52.315993608060005,0.0673141175
3,50,52.315993608060005,0.0673141175
3,15,0.13932203327487996,0.0419990464
3,14,0.13932203327487996,0.0419990464
4,29,0.329033258676,0.0344898594
4,2,19.440835511175997,0.0392957497
4,32,24.73451878716001,0.029915963700000006
4,49,19.4583681012552,0.0250367581
4,50,19.4583681012552,0.0250367581
4,30,0.329033258676,0.0344898594
4,1,19.440835511175997,0.0392957497
4,37,-1.5685529332496002,0.0401414415
4,31,24.73451878716001,0.029915963700000006
5,42,-13.506814535161599,0.0178973706
5,7,22.031181539680006,0.0292104276
5,21,45.94651983452801,0.046883554
5,20,45.94651983452801,0.046883554
5,44,-13.506814535161599,0.0178973706
5,41,13.989282333416002,0.035730273
5,43,-13.506814535161599,0.0178973706
6,35,13.595740814799997,0.027513185
6,9,-1.6923394967000003,0.0224140725
6,11,-1.6923394967000003,0.0224140725
6,8,-1.6923394967000003,0.0224140725
6,36,13.595740814799997,0.027513185
6,10,-1.6923394967000003,0.0224140725
6,47,20.4501440140712,0.0440433561
7,14,0.508880634651136,0.0255630821
7,8,-0.9606990053840003,0.0303800051
7,46,-1.5466401636399993,0.0246600545
7,45,-1.3057422390176001,0.0296360995
7,9,-0.9606990053840003,0.0303800051
7,11,-0.9606990053840003,0.0303800051
7,6,0.038539218816000004,0.030298128
7,10,-0.9606990053840003,0.0303800051
7,15,0.508880634651136,0.0255630821
8,37,0.28381754040448026,0.0437452237
8,16,28.111119827960003,0.0506665697
8,17,28.111119827960003,0.0506665697
9,27,30.934404148230403,0.06276851879999999
9,26,30.934404148230403,0.06276851879999999
9,38,21.212242092640004,0.0282199348
9,39,21.212242092640004,0.0282199348
9,28,30.934404148230403,0.06276851879999999
9,13,0.0355558995264,0.0559055024
9,12,0.0355558995264,0.0559055024
9,40,21.212242092640004,0.0282199348
10,15,1.8557533635425922,0.0330818401
10,6,0.10001577979439999,0.0524191718
10,14,1.8557533635425922,0.0330818401
10,47,52.052288823204805,0.0847053094
10,32,34.38515038296001,0.041588232200000005
10,31,34.38515038296001,0.041588232200000005
11,35,20.113457832352,0.0406516244
11,45,-0.1651978617555201,0.0304919471
11,47,11.375403308172801,0.0323670384
11,14,1.4850386117948802,0.0258365353
11,15,1.4850386117948802,0.0258365353
11,37,1.0348589531228796,0.0499242155
11,36,20.113457832352,0.0406516244
12,24,-1.99249587362768,0.0351716116
12,20,35.071248469211206,0.0362759341
12,26,14.724933643955207,0.0319876144
12,48,-2.0507580434912,0.0272177502
12,13,0.026000760309600003,0.0204408493
12,12,0.026000760309600003,0.0204408493
12,25,-1.99249587362768,0.0351716116
12,22,-1.99249587362768,0.0351716116
