Activity,Day,Channel,TargetProducts,Cost
1,10,direct mail,1;11,1.06
2,68,direct mail,1;11,1.06
3,104,direct mail,1;11,1.06
4,24,email,2,0.0
5,101,email,2,0.0
6,28,email,2,0.0
7,38,email,3,0.0
8,58,text message,4;12,0.026500000000000003
9,84,direct mail,5,1.06
10,39,direct mail,5,1.06
11,9,call center,6,6.8900000000000015
12,33,call center,6,6.8900000000000015
13,35,text message,7;11,0.026500000000000003
14,11,text message,7;11,0.026500000000000003
15,24,email,8,0.0
16,16,email,8,0.0
17,112,email,8,0.0
18,88,email,9,0.0
19,26,email,9,0.0
20,72,email,9,0.0
21,116,text message,10;11,0.026500000000000003
22,93,text message,10;11,0.026500000000000003
23,75,text message,10;11,0.026500000000000003
24,63,direct mail,8,1.06
25,47,direct mail,1;12,1.06
26,33,direct mail,1;12,1.06
27,89,direct mail,1;12,1.06
28,24,direct mail,4,1.06
29,56,direct mail,4,1.06
30,66,direct mail,4,1.06
31,114,email,5,0.0
32,78,email,5,0.0
33,4,call center,3,6.8900000000000015
34,1,call center,3,6.8900000000000015
35,78,call center,1,6.8900000000000015
36,7,call center,1,6.8900000000000015
37,53,direct mail,4,1.06
38,86,direct mail,4,1.06
39,71,email,6;12,0.0
40,3,email,6;12,0.0
41,77,call center,2,6.8900000000000015
42,92,call center,2,6.8900000000000015
43,22,text message,3;11,0.026500000000000003
44,76,call center,5;12,6.8900000000000015
45,8,call center,5;12,6.8900000000000015
46,78,call center,5;12,6.8900000000000015
47,73,call center,4;11,6.8900000000000015
48,76,direct mail,1;12,1.06
49,77,direct mail,1;12,1.06
50,44,direct mail,1;12,1.06
51,21,email,7,0.0
52,31,email,7,0.0
53,37,email,7,0.0
54,104,direct mail,1,1.06
55,8,direct mail,1,1.06
56,46,text message,8,0.026500000000000003
57,69,text message,8,0.026500000000000003
58,58,email,3,0.0
59,113,call center,9,6.8900000000000015
60,83,call center,4,6.8900000000000015
61,97,call center,4,6.8900000000000015
62,14,direct mail,1;11,1.06
63,11,direct mail,1;11,1.06
64,24,email,9,0.0
65,82,email,9,0.0
66,8,text message,5;11,0.026500000000000003
67,25,email,3,0.0
68,75,email,3,0.0
69,93,email,10;12,0.0
70,21,text message,1,0.026500000000000003
71,33,direct mail,4,1.06
72,13,call center,9,6.8900000000000015
73,66,text message,2;11,0.026500000000000003
74,95,text message,2;11,0.026500000000000003
75,61,text message,2;11,0.026500000000000003
