Activity,Day,Channel,TargetProducts,Cost
1,10,direct mail,1;12,2.44
2,68,direct mail,1;12,2.44
3,104,direct mail,1;12,2.44
4,24,email,2,0.0
5,101,email,2,0.0
6,28,email,2,0.0
7,38,email,3,0.0
8,58,text message,4;11,0.061
9,84,direct mail,5,2.44
10,39,direct mail,5,2.44
11,9,call center,6,15.86
12,33,call center,6,15.86
13,35,text message,7;12,0.061
14,11,text message,7;12,0.061
15,24,email,8,0.0
16,16,email,8,0.0
17,112,email,8,0.0
18,88,email,9,0.0
19,26,email,9,0.0
20,72,email,9,0.0
21,116,text message,10;12,0.061
22,93,text message,10;12,0.061
23,75,text message,10;12,0.061
24,63,direct mail,8,2.44
25,47,direct mail,1;11,2.44
26,33,direct mail,1;11,2.44
27,89,direct mail,1;11,2.44
28,24,direct mail,4,2.44
29,56,direct mail,4,2.44
30,66,direct mail,4,2.44
31,114,email,5,0.0
32,78,email,5,0.0
33,4,call center,3,15.86
34,1,call center,3,15.86
35,78,call center,1,15.86
36,7,call center,1,15.86
37,53,direct mail,4,2.44
38,86,direct mail,4,2.44
39,71,email,6;11,0.0
40,3,email,6;11,0.0
41,77,call center,2,15.86
42,92,call center,2,15.86
43,22,text message,3;12,0.061
44,76,call center,5;11,15.86
45,8,call center,5;11,15.86
46,78,call center,5;11,15.86
47,73,call center,4;12,15.86
48,76,direct mail,1;11,2.44
49,77,direct mail,1;11,2.44
50,44,direct mail,1;11,2.44
51,21,email,7,0.0
52,31,email,7,0.0
53,37,email,7,0.0
54,104,direct mail,1,2.44
55,8,direct mail,1,2.44
56,46,text message,8,0.061
57,69,text message,8,0.061
58,58,email,3,0.0
59,113,call center,9,15.86
60,83,call center,4,15.86
61,97,call center,4,15.86
62,14,direct mail,1;12,2.44
63,11,direct mail,1;12,2.44
64,24,email,9,0.0
65,82,email,9,0.0
66,8,text message,5;12,0.061
67,25,email,3,0.0
68,75,email,3,0.0
69,93,email,10;11,0.0
70,21,text message,1,0.061
71,33,direct mail,4,2.44
72,13,call center,9,15.86
73,66,text message,2;12,0.061
74,95,text message,2;12,0.061
75,61,text message,2;12,0.061
