Customer,Activity,ExpectedProfit,ResponseProbability
1,13,7.512908805402001,0.0178700081
1,12,7.512908805402001,0.0178700081
2,6,0.016512134478,0.0393146059
3,9,424.475232328,0.779991268
3,10,424.475232328,0.779991268
3,3,-9.0824297704,0.04183388
3,11,424.475232328,0.779991268
3,4,-9.0824297704,0.04183388
3,8,424.475232328,0.779991268
4,37,265.48566376108005,0.8146693033
5,23,23.664960739,0.0395745875
5,25,23.664960739,0.0395745875
5,14,8.602640797240001,0.0263664249
5,15,8.602640797240001,0.0263664249
5,24,23.664960739,0.0395745875
5,22,23.664960739,0.0395745875
6,17,-9.08620793563,0.0328382485
6,21,13.044011252944,0.0314931346
6,20,13.044011252944,0.0314931346
6,16,-9.08620793563,0.0328382485
7,46,-9.086349692644,0.0325007318
8,42,6.983761748600001,0.0294574391
8,44,6.983761748600001,0.0294574391
8,46,-9.077862306184,0.026354397400000003
8,43,6.983761748600001,0.0294574391
9,48,-1.37991978236,0.023905021
10,6,0.04041669177,0.0320767395
10,45,11.8811053102,0.0405406145
11,50,24.730841647511994,0.0343140771
11,49,24.730841647511994,0.0343140771
12,34,10.150192682392,0.0251835703
12,33,10.150192682392,0.0251835703
12,47,7.959386904559993,0.023669923
13,26,-1.3851097023974,0.0262615478
13,27,-1.3851097023974,0.0262615478
13,28,-1.3851097023974,0.0262615478
14,47,11.889645893215997,0.0291231628
15,15,9.86168664712,0.0302096662
15,14,9.86168664712,0.0302096662
16,39,-1.361914544396,0.045339828099999986
16,40,-1.361914544396,0.045339828099999986
16,38,-1.361914544396,0.045339828099999986
17,29,19.2685317552,0.0352903512
17,30,19.2685317552,0.0352903512
18,45,6.336402124360001,0.0236153911
19,31,14.42843861004,0.0440428529
19,32,14.42843861004,0.0440428529
20,30,13.309800995400002,0.024376924900000003
20,29,13.309800995400002,0.024376924900000003
20,18,21.510809733447996,0.0298948409
20,19,21.510809733447996,0.0298948409
21,10,14.0954739394,0.0283799889
21,19,18.710799632559997,0.026009823
21,18,18.710799632559997,0.026009823
21,11,14.0954739394,0.0283799889
21,8,14.0954739394,0.0283799889
21,9,14.0954739394,0.0283799889
22,17,-9.036516046474,0.0503840901
22,16,-9.036516046474,0.0503840901
23,2,0.026954635581999994,0.0491703457
23,1,0.026954635581999994,0.0491703457
24,1,0.018662907759999993,0.031942207
24,6,0.034175007384,0.0203422663
24,2,0.018662907759999993,0.031942207
25,30,16.836683682,0.030836417
25,41,11.531889710431996,0.0286267756
25,29,16.836683682,0.030836417
26,43,16.7801848214,0.0473996059
26,42,16.7801848214,0.0473996059
26,34,7.872662851816001,0.0202177369
26,33,7.872662851816001,0.0202177369
26,44,16.7801848214,0.0473996059
27,31,10.037446473600001,0.030639336
27,32,10.037446473600001,0.030639336
27,7,14.921224497760003,0.0498205876
28,34,7.997507962024001,0.0204899441
28,39,-1.3426669331599999,0.0341268255
