Activity,Day,Channel,TargetProducts,Cost
1,1,direct mail,1;12,1.36
2,78,direct mail,1;12,1.36
3,7,direct mail,1;12,1.36
4,53,direct mail,2;11,1.36
5,86,direct mail,2;11,1.36
6,71,direct mail,2;11,1.36
7,3,direct mail,3,1.36
8,77,email,4,0.0
9,92,email,4,0.0
10,22,call center,5,8.84
11,76,call center,5,8.84
12,8,call center,6,8.84
13,78,call center,6,8.84
14,73,direct mail,7,1.36
15,76,direct mail,7,1.36
16,77,direct mail,7,1.36
17,44,email,8;12,0.0
18,21,email,8;12,0.0
19,31,email,8;12,0.0
20,37,email,8;12,0.0
21,104,call center,9,8.84
22,8,call center,9,8.84
23,46,call center,9,8.84
24,69,call center,9,8.84
25,58,text message,10,0.034
26,113,text message,10,0.034
27,83,text message,10,0.034
28,97,call center,1;11,8.84
29,14,call center,6,8.84
30,11,call center,6,8.84
31,24,call center,6,8.84
32,82,direct mail,3;11,1.36
33,8,direct mail,3;11,1.36
34,25,direct mail,3;11,1.36
35,75,email,2,0.0
36,93,email,2,0.0
37,21,email,2,0.0
38,33,direct mail,9;11,1.36
39,13,direct mail,9;11,1.36
40,66,text message,6,0.034
41,95,text message,6,0.034
42,61,email,10,0.0
43,106,email,10,0.0
44,25,call center,5;11,8.84
45,83,call center,5;11,8.84
46,116,call center,10;12,8.84
47,98,call center,10;12,8.84
48,3,direct mail,2;12,1.36
49,109,email,3,0.0
50,93,email,3,0.0
51,104,email,3,0.0
52,99,text message,1,0.034
53,11,email,5;11,0.0
54,55,email,5;11,0.0
55,97,email,5;11,0.0
56,106,email,8;12,0.0
57,83,email,8;12,0.0
58,87,email,8;12,0.0
59,71,text message,1;12,0.034
60,67,text message,1;12,0.034
61,72,direct mail,7,1.36
62,104,direct mail,7,1.36
63,49,call center,3;11,8.84
64,55,text message,5;12,0.034
65,16,direct mail,4,1.36
66,6,direct mail,4,1.36
67,18,email,7,0.0
68,43,email,7,0.0
69,21,email,8,0.0
70,119,email,8,0.0
71,49,email,8,0.0
72,23,text message,7,0.034
73,102,email,4,0.0
74,14,email,4,0.0
75,114,direct mail,1,1.36
76,115,call center,7,8.84
77,98,email,5,0.0
78,54,direct mail,8;12,1.36
79,85,direct mail,7;12,1.36
80,11,direct mail,7;12,1.36
81,97,direct mail,7;12,1.36
82,56,email,3;12,0.0
83,62,text message,10,0.034
84,57,call center,6,8.84
85,90,call center,10;11,8.84
86,22,call center,10;11,8.84
87,104,call center,10;11,8.84
88,97,text message,10,0.034
89,84,text message,10,0.034
90,26,text message,10,0.034
91,114,text message,10,0.034
92,15,text message,10,0.034
93,14,email,9;11,0.0
94,85,email,7,0.0
95,117,email,7,0.0
96,44,email,5,0.0
97,7,email,3,0.0
98,78,email,3,0.0
99,57,direct mail,10,1.36
100,60,email,5,0.0
101,16,email,5,0.0
102,25,email,1,0.0
103,10,email,1,0.0
104,67,email,1,0.0
105,72,call center,1,8.84
106,54,call center,1,8.84
107,70,text message,4,0.034
108,37,text message,5,0.034
109,102,text message,10;12,0.034
110,22,call center,4,8.84
111,41,call center,4,8.84
112,78,call center,10,8.84
113,92,email,2,0.0
114,50,email,2,0.0
115,114,email,2,0.0
116,48,email,3,0.0
117,78,direct mail,6,1.36
118,41,direct mail,5,1.36
119,79,direct mail,5,1.36
120,46,direct mail,5,1.36
121,88,direct mail,5,1.36
122,17,direct mail,1,1.36
123,29,direct mail,1,1.36
124,107,email,9,0.0
125,46,email,9,0.0
